packing_idx,sigma_idx,density_idx,packing_cells_per_mm2,sigma_um,mean_tx_per_cell,field_seed,transcript_seed,n_cells,n_interior_cells,grid,dx_um,r_mean_um,L_um,n_interior_transcripts,oracle_acc,naive_acc,oracle_minus_naive,oracle_ge_naive,assign_ari_vs_truecells_oracle,assign_ari_vs_truecells_naive,same_type_error_frac_oracle,same_type_error_frac_naive,profile_ari_vs_truetype,profile_ari_vs_trueclust,perfect_ari_vs_truetype,naive_profile_ari_vs_truetype,n_cells_clustered,realized_median_tx_per_cell,realized_packing_cells_per_mm2
1,2,3,3400.0,2.0,280.0,20262669,20266705,400,327,213,1.6103153534507872,9.67577153305815,342.99717028501766,92175,0.8510116625983184,0.8089069704366694,0.04210469216164903,True,0.735267697540638,0.6694117761879212,0.4136750892011942,0.3096400590439423,1.0,1.0,1.0,1.0,327,282.0,3400.0000000000005
1,2,4,3400.0,2.0,500.0,20262669,20267714,400,327,213,1.6103153534507872,9.67577153305815,342.99717028501766,162978,0.8517898121218814,0.8096921056829757,0.04209770643890576,True,0.7370069102189368,0.6709998046509233,0.4159387290416063,0.3109040495228269,1.0,1.0,1.0,1.0,327,498.0,3400.0000000000005
1,3,0,3400.0,4.0,50.0,20262686,20263695,400,308,213,1.6103153534507872,9.67577153305815,342.99717028501766,15534,0.7252478434401957,0.6433629457963178,0.08188489764387785,True,0.550924171953511,0.4508133705900402,0.433223992502343,0.31353790613718413,1.0,1.0,1.0,0.9848947297363371,308,50.0,3400.0000000000005
1,3,1,3400.0,4.0,90.0,20262686,20264704,400,308,213,1.6103153534507872,9.67577153305815,342.99717028501766,27611,0.7259425591249864,0.640650465394227,0.08529209373075941,True,0.5531231669659302,0.44863454018462134,0.4442976080348883,0.3190888933682725,1.0,1.0,1.0,1.0,308,90.0,3400.0000000000005
1,3,2,3400.0,4.0,160.0,20262686,20265713,400,308,213,1.6103153534507872,9.67577153305815,342.99717028501766,49445,0.720113257154414,0.6366467792496714,0.0834664779047426,True,0.5446058343544388,0.4432607631223768,0.43709805621793485,0.313035734164533,1.0,1.0,1.0,1.0,308,160.0,3400.0000000000005
1,3,3,3400.0,4.0,280.0,20262686,20266722,400,308,213,1.6103153534507872,9.67577153305815,342.99717028501766,86239,0.7247417061886153,0.642783427451617,0.08195827873699835,True,0.5510689820091946,0.4503325701366498,0.43204987783301035,0.30562228137375835,1.0,1.0,1.0,1.0,308,280.0,3400.0000000000005
1,3,4,3400.0,4.0,500.0,20262686,20267731,400,308,213,1.6103153534507872,9.67577153305815,342.99717028501766,154304,0.7259954375777685,0.6432561696391539,0.08273926793861464,True,0.5525007141698004,0.4506828109134104,0.43744087038789026,0.31077079586535145,1.0,1.0,1.0,1.0,308,501.0,3400.0000000000005
1,4,0,3400.0,8.0,50.0,20262703,20263712,400,254,213,1.6103153534507872,9.67577153305815,342.99717028501766,12747,0.5052953636149682,0.37506864360241626,0.13022672001255192,True,0.3059788320749002,0.21231351056112838,0.49777989216619095,0.3076826512678885,1.0,1.0,1.0,0.56757729258172,254,49.5,3400.0000000000005
1,4,1,3400.0,8.0,90.0,20262703,20264721,400,254,213,1.6103153534507872,9.67577153305815,342.99717028501766,22679,0.509766744565457,0.3810132721901318,0.1287534723753252,True,0.31018610480226194,0.21646192005132678,0.49352401511063143,0.3126513748397208,1.0,1.0,1.0,0.6662487670473994,254,89.0,3400.0000000000005
1,4,2,3400.0,8.0,160.0,20262703,20265730,400,254,213,1.6103153534507872,9.67577153305815,342.99717028501766,40902,0.5047185956676935,0.38069043078578063,0.12402816488191287,True,0.30482152478014735,0.2150949565496541,0.48168624740843125,0.3027515692234811,1.0,1.0,1.0,0.7285102457706311,254,161.0,3400.0000000000005
