fov_id,dataset,real_packing_cells_per_mm2,real_median_tx_per_cell,real_median_nn_distance_um,sigma_um,in_realistic_sigma_band,oracle_acc,naive_acc,oracle_minus_naive,oracle_ge_naive,assign_ari_vs_truecells_oracle,assign_ari_vs_truecells_naive,profile_ari_vs_truetype,naive_profile_ari_vs_truetype,perfect_ari_vs_truetype,same_type_error_frac_oracle,realized_median_tx_per_cell,realized_packing_cells_per_mm2,tx_match_rel_err,packing_match_rel_err,tx_match_within_15pct,packing_match_within_15pct,n_cells,n_interior_cells,grid,dx_um,r_mean_um,L_um,n_interior_transcripts,field_seed
xenium_breast_fov2,xenium_breast,13250.0,66.0,6.546846444925818,0.5,True,0.9217667307434396,0.901247261835576,0.020519468907863603,True,0.8559421808914657,0.8198269707226918,1.0,1.0,1.0,0.392,66.0,13250.000000000002,0.0,1.3728221913553635e-16,True,True,400,337,213,0.8157225216207875,4.90136589498402,173.74889710522774,22369,20310880
xenium_breast_fov2,xenium_breast,13250.0,66.0,6.546846444925818,1.0,True,0.8577481840193705,0.8112777053455019,0.046470478673868554,True,0.7483803637108328,0.6752342991861047,1.0,1.0,1.0,0.3960720130932897,65.0,13250.000000000002,0.015151515151515152,1.3728221913553635e-16,True,True,400,328,213,0.8157225216207875,4.90136589498402,173.74889710522774,21476,20310887
xenium_breast_fov2,xenium_breast,13250.0,66.0,6.546846444925818,2.0,True,0.7379296931978412,0.6501677444449847,0.08776194875285648,True,0.5682549619550473,0.4589811003395924,1.0,1.0,1.0,0.3738404452690167,66.0,13250.000000000002,0.0,1.3728221913553635e-16,True,True,400,311,213,0.8157225216207875,4.90136589498402,173.74889710522774,20567,20310894
xenium_breast_fov2,xenium_breast,13250.0,66.0,6.546846444925818,4.0,False,0.501687616387337,0.3850093109869646,0.11667830540037244,True,0.3031832674175002,0.218631868659077,1.0,0.6962255122756089,1.0,0.49900735723461404,66.0,13250.000000000002,0.0,1.3728221913553635e-16,True,True,400,257,213,0.8157225216207875,4.90136589498402,173.74889710522774,17184,20310901
xenium_breast_fov2,xenium_breast,13250.0,66.0,6.546846444925818,8.0,False,0.27833817746623357,0.15156436997777398,0.1267738074884596,True,0.1308264916766786,0.08064330134728759,1.0,0.02874268759681133,1.0,0.5557924662402275,65.0,13250.000000000002,0.015151515151515152,1.3728221913553635e-16,True,True,400,179,213,0.8157225216207875,4.90136589498402,173.74889710522774,11698,20310908
merfish_hypothal_fov0,merfish_hypothal,2700.0,266.8414306640625,10.71512965534931,0.5,True,0.9503621734631386,0.9378497666462526,0.012512406816885924,True,0.905657834736653,0.8829476819890796,1.0,1.0,1.0,0.31376302914273557,268.0,2700.0,0.004341789552897691,0.0,True,True,400,354,213,1.8070430960551667,10.857833597842665,384.9001794597505,94706,20311011
merfish_hypothal_fov0,merfish_hypothal,2700.0,266.8414306640625,10.71512965534931,1.0,True,0.9231482579768593,0.9023043661106139,0.020843891866245357,True,0.8564194225227585,0.8203495140126553,1.0,1.0,1.0,0.40058930826434686,267.0,2700.0,0.0005942455620286692,0.0,True,True,400,348,213,1.8070430960551667,10.857833597842665,384.9001794597505,92737,20311018
merfish_hypothal_fov0,merfish_hypothal,2700.0,266.8414306640625,10.71512965534931,2.0,True,0.8655791447272401,0.8236687586307553,0.041910386096484786,True,0.760226311248205,0.6939221934886781,1.0,1.0,1.0,0.41819092959158105,268.0,2700.0,0.004341789552897691,0.0,True,True,400,333,213,1.8070430960551667,10.857833597842665,384.9001794597505,89071,20311025
merfish_hypothal_fov0,merfish_hypothal,2700.0,266.8414306640625,10.71512965534931,4.0,False,0.7505941167054535,0.6758893280632411,0.07470478864221242,True,0.5858885751352618,0.490130190463483,1.0,1.0,1.0,0.42537645025919524,265.0,2700.0,0.006900842419709373,0.0,True,True,400,306,213,1.8070430960551667,10.857833597842665,384.9001794597505,81213,20311032
merfish_hypothal_fov0,merfish_hypothal,2700.0,266.8414306640625,10.71512965534931,8.0,False,0.5450422964914714,0.4257800582443489,0.11926223824712251,True,0.344616887582991,0.24893777707373405,1.0,0.8514140229121175,1.0,0.48300667540463926,266.0,2700.0,0.003153298428840352,0.0,True,True,400,270,213,1.8070430960551667,10.857833597842665,384.9001794597505,72110,20311039
merfish_hypothal_fov1,merfish_hypothal,2525.0,311.90338134765625,12.521280620211122,0.5,True,0.9525692067271916,0.9400208364339931,0.012548370293198441,True,0.9100871013610186,0.8871847027857301,1.0,1.0,1.0,0.25318689939203765,309.0,2525.0,0.00930859208743255,0.0,True,True,400,348,213,1.8686144417089,11.227792359182066,398.01487608399566,107504,20311142
merfish_hypothal_fov1,merfish_hypothal,2525.0,311.90338134765625,12.521280620211122,1.0,True,0.9256913560842109,0.905526225764398,0.02016513031981293,True,0.8618544161930806,0.8260619461863754,1.0,1.0,1.0,0.3598357596117954,310.0,2525.0,0.00610247102622683,0.0,True,True,400,348,213,1.8686144417089,11.227792359182066,398.01487608399566,108157,20311149
merfish_hypothal_fov1,merfish_hypothal,2525.0,311.90338134765625,12.521280620211122,2.0,True,0.8722932301438399,0.8321607254534084,0.0401325046904315,True,0.7709705838829481,0.7063403588392799,1.0,1.0,1.0,0.3942918356415946,312.0,2525.0,0.00030977109618461027,0.0,True,True,400,328,213,1.8686144417089,11.227792359182066,398.01487608399566,102336,20311156
merfish_hypothal_fov1,merfish_hypothal,2525.0,311.90338134765625,12.521280620211122,4.0,False,0.758233313447324,0.6846719314033792,0.0735613820439448,True,0.597043144344496,0.5008912868769727,1.0,1.0,1.0,0.40869928900041824,312.0,2525.0,0.00030977109618461027,0.0,True,True,400,317,213,1.8686144417089,11.227792359182066,398.01487608399566,98897,20311163
merfish_hypothal_fov1,merfish_hypothal,2525.0,311.90338134765625,12.521280620211122,8.0,False,0.5645290605143178,0.4464920363301303,0.11803702418418754,True,0.36240223847569086,0.2621760350925869,1.0,0.8873458217008011,1.0,0.45173257124014177,313.0,2525.0,0.00351589215739033,0.0,True,True,400,268,213,1.8686144417089,11.227792359182066,398.01487608399566,83567,20311170
merfish_hypothal_fov2,merfish_hypothal,2500.0,280.34930419921875,11.962528291837604,0.5,True,0.9524568283168993,0.9406512224647953,0.011805605852103995,True,0.9099395604506587,0.8883334049932331,1.0,1.0,1.0,0.3055495103373232,280.0,2500.0,0.001245960642622217,0.0,True,True,400,345,213,1.8779342723004695,11.283791670955125,400.0,96649,20311273
merfish_hypothal_fov2,merfish_hypothal,2500.0,280.34930419921875,11.962528291837604,1.0,True,0.927556773769945,0.9085574928869944,0.018999280882950664,True,0.8651427739979463,0.8315878564307041,1.0,1.0,1.0,0.3796576032225579,282.0,2500.0,0.0058879967813590525,0.0,True,True,400,340,213,1.8779342723004695,11.283791670955125,400.0,95951,20311280
merfish_hypothal_fov2,merfish_hypothal,2500.0,280.34930419921875,11.962528291837604,2.0,True,0.8715673123356763,0.8324837688469174,0.039083543488758865,True,0.7694399271217234,0.7068753664111388,1.0,1.0,1.0,0.40274064171123,280.0,2500.0,0.001245960642622217,0.0,True,True,400,333,213,1.8779342723004695,11.283791670955125,400.0,93185,20311287
merfish_hypothal_fov2,merfish_hypothal,2500.0,280.34930419921875,11.962528291837604,4.0,False,0.7590534932764915,0.6826458649856005,0.07640762829089098,True,0.5982012712947561,0.49865056054504664,1.0,1.0,1.0,0.4210625382334949,280.0,2500.0,0.001245960642622217,0.0,True,True,400,315,213,1.8779342723004695,11.283791670955125,400.0,88198,20311294
merfish_hypothal_fov2,merfish_hypothal,2500.0,280.34930419921875,11.962528291837604,8.0,False,0.5631232589123502,0.44551657313577453,0.11760668577657563,True,0.36160796364256204,0.2619441889480041,1.0,0.8852884977872302,1.0,0.46329667621599974,280.0,2500.0,0.001245960642622217,0.0,True,True,400,265,213,1.8779342723004695,11.283791670955125,400.0,74307,20311301
